AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Month,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,VCA,VCD,VCH,WHA,WHD,WHH,Year,season
5,8,0,13,4,1,Leicester,7.5,3.9,1.57,7.5,4.0,1.53,2018-08-10,10,E0,1,2,H,2,11,0,8,6,0,1,H,2,Man United,7.0,3.8,1.55,08,7.5,7.69,4.07,1.55,3.93,1.58,A Marriner,7.0,4.0,1.57,6.0,3.8,1.57,2018,1819
4,9,0,10,1,1,Cardiff,4.5,3.6,1.9,4.4,3.4,1.9,2018-08-11,11,E0,0,2,H,7,11,0,12,4,0,1,H,1,Bournemouth,4.1,3.5,1.9,08,4.58,4.7,3.61,1.88,3.63,1.89,K Friend,4.75,3.6,1.87,4.0,3.5,1.91,2018,1819
5,11,0,10,9,2,Crystal Palace,3.0,3.4,2.5,2.95,3.3,2.45,2018-08-11,11,E0,2,0,A,5,9,0,15,6,1,0,A,1,Fulham,2.95,3.3,2.4,08,3.0,2.9,3.38,2.62,3.46,2.5,M Dean,3.0,3.4,2.5,2.8,3.3,2.45,2018,1819
5,8,0,13,4,1,Chelsea,1.61,4.0,6.5,1.57,3.9,6.25,2018-08-11,11,E0,3,0,A,2,9,0,6,1,2,0,A,2,Huddersfield,1.55,4.0,6.2,08,1.62,1.58,3.95,7.24,4.02,6.41,C Kavanagh,1.62,4.0,6.5,1.57,3.9,5.8,2018,1819
5,12,0,15,5,2,Tottenham,2.04,3.5,3.9,2.0,3.5,3.8,2018-08-11,11,E0,2,1,A,3,11,0,15,2,2,1,A,2,Newcastle,2.05,3.35,3.7,08,2.08,1.89,3.53,4.74,3.57,3.83,M Atkinson,2.1,3.4,3.9,2.05,3.2,3.8,2018,1819
2,16,0,6,0,2,Brighton,3.4,3.2,2.37,3.3,3.1,2.35,2018-08-11,11,E0,0,2,H,8,10,0,19,5,0,1,H,2,Watford,3.4,3.3,2.2,08,3.33,3.22,3.08,2.58,3.22,2.43,J Moss,3.4,3.2,2.4,3.3,3.0,2.38,2018,1819
6,7,1,6,5,1,Everton,3.3,3.3,2.37,3.2,3.2,2.35,2018-08-11,11,E0,2,2,D,3,8,0,11,4,1,1,D,0,Wolves,3.2,3.35,2.25,08,3.28,3.32,3.23,2.44,3.4,2.36,C Pawson,3.3,3.3,2.38,3.2,3.2,2.3,2018,1819
4,9,0,5,2,2,West Ham,14.0,6.5,1.25,14.0,6.75,1.2,2018-08-12,12,E0,0,4,H,5,14,0,18,8,0,2,H,1,Liverpool,11.0,6.1,1.25,08,13.25,12.0,6.95,1.25,6.35,1.27,A Taylor,13.0,6.5,1.25,12.0,5.5,1.25,2018,1819
9,14,0,17,8,2,Man City,1.95,3.8,4.0,1.95,3.75,3.7,2018-08-12,12,E0,2,0,A,2,11,0,9,3,1,0,A,2,Arsenal,2.0,3.6,3.6,08,1.93,1.81,4.13,4.43,3.97,4.0,M Oliver,1.91,4.0,3.9,1.91,3.8,3.8,2018,1819
5,9,0,16,6,1,Burnley,5.0,3.5,1.85,4.75,3.5,1.8,2018-08-12,12,E0,0,0,D,8,10,0,18,3,0,0,D,0,Southampton,4.5,3.6,1.8,08,4.99,4.65,3.19,2.03,3.51,1.86,G Scott,5.2,3.4,1.85,4.8,3.25,1.83,2018,1819
